date,hits,keyword,geo,time,gprop,category,hits_num,month,year
2014-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2014
2014-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2014
2014-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2014
2014-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2014
2014-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2014
2014-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2014
2014-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2014
2015-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2015
2015-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2015
2015-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2015
2015-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2015
2015-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2015
2015-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2015
2015-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2015
2015-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2015
2015-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2015
2015-10-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Oct,2015
2015-11-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Nov,2015
2015-12-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Dec,2015
2016-01-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jan,2016
2016-02-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Feb,2016
2016-03-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Mar,2016
2016-04-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Apr,2016
2016-05-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,May,2016
2016-06-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jun,2016
2016-07-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Jul,2016
2016-08-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Aug,2016
2016-09-01T00:00:00Z,0,COVID,US-CA,all,web,0,0,Sep,2016
